"dateTime","value","dataset_time","dataset_value","datasetInterval","datasetType"
"2023-02-11","7072","06:33:00",0,1,"minute"
"2023-02-11","7072","06:34:00",0,1,"minute"
"2023-02-11","7072","06:35:00",0,1,"minute"
"2023-02-11","7072","06:36:00",0,1,"minute"
"2023-02-11","7072","06:37:00",0,1,"minute"
"2023-02-11","7072","06:38:00",0,1,"minute"
"2023-02-11","7072","06:39:00",0,1,"minute"
"2023-02-11","7072","06:40:00",0,1,"minute"
"2023-02-11","7072","06:41:00",0,1,"minute"
"2023-02-11","7072","06:42:00",0,1,"minute"
"2023-02-11","7072","06:43:00",0,1,"minute"
"2023-02-11","7072","06:44:00",0,1,"minute"
"2023-02-11","7072","06:45:00",0,1,"minute"
"2023-02-11","7072","06:46:00",0,1,"minute"
"2023-02-11","7072","06:47:00",0,1,"minute"
"2023-02-11","7072","06:48:00",0,1,"minute"
"2023-02-11","7072","06:49:00",0,1,"minute"
"2023-02-11","7072","06:50:00",0,1,"minute"
"2023-02-11","7072","06:51:00",0,1,"minute"
"2023-02-11","7072","06:52:00",0,1,"minute"
"2023-02-11","7072","06:53:00",0,1,"minute"
"2023-02-11","7072","06:54:00",0,1,"minute"
"2023-02-11","7072","06:55:00",0,1,"minute"
"2023-02-11","7072","06:56:00",0,1,"minute"
"2023-02-11","7072","06:57:00",0,1,"minute"
"2023-02-11","7072","06:58:00",0,1,"minute"
"2023-02-11","7072","06:59:00",0,1,"minute"
"2023-02-11","7072","07:00:00",0,1,"minute"
"2023-02-11","7072","07:01:00",0,1,"minute"
"2023-02-11","7072","07:02:00",0,1,"minute"
"2023-02-11","7072","07:03:00",0,1,"minute"
"2023-02-11","7072","07:04:00",0,1,"minute"
"2023-02-11","7072","07:05:00",0,1,"minute"
"2023-02-11","7072","07:06:00",0,1,"minute"
"2023-02-11","7072","07:07:00",0,1,"minute"
"2023-02-11","7072","07:08:00",0,1,"minute"
"2023-02-11","7072","07:09:00",0,1,"minute"
"2023-02-11","7072","07:10:00",0,1,"minute"
"2023-02-11","7072","07:11:00",0,1,"minute"
"2023-02-11","7072","07:12:00",0,1,"minute"
"2023-02-11","7072","07:13:00",0,1,"minute"
"2023-02-11","7072","07:14:00",0,1,"minute"
"2023-02-11","7072","07:15:00",0,1,"minute"
"2023-02-11","7072","07:16:00",0,1,"minute"
"2023-02-11","7072","07:17:00",0,1,"minute"
"2023-02-11","7072","07:18:00",0,1,"minute"
"2023-02-11","7072","07:19:00",0,1,"minute"
"2023-02-11","7072","07:20:00",0,1,"minute"
"2023-02-11","7072","07:21:00",0,1,"minute"
"2023-02-11","7072","07:22:00",0,1,"minute"
"2023-02-11","7072","07:23:00",0,1,"minute"
"2023-02-11","7072","07:24:00",0,1,"minute"
"2023-02-11","7072","07:25:00",0,1,"minute"
"2023-02-11","7072","07:26:00",0,1,"minute"
"2023-02-11","7072","07:27:00",0,1,"minute"
"2023-02-11","7072","07:28:00",0,1,"minute"
"2023-02-11","7072","07:29:00",0,1,"minute"
"2023-02-11","7072","07:30:00",0,1,"minute"
"2023-02-11","7072","07:31:00",0,1,"minute"
"2023-02-11","7072","07:32:00",0,1,"minute"
"2023-02-11","7072","07:33:00",0,1,"minute"
"2023-02-11","7072","07:34:00",0,1,"minute"
"2023-02-11","7072","07:35:00",0,1,"minute"
"2023-02-11","7072","07:36:00",0,1,"minute"
"2023-02-11","7072","07:37:00",0,1,"minute"
"2023-02-11","7072","07:38:00",0,1,"minute"
"2023-02-11","7072","07:39:00",0,1,"minute"
"2023-02-11","7072","07:40:00",0,1,"minute"
"2023-02-11","7072","07:41:00",0,1,"minute"
"2023-02-11","7072","07:42:00",0,1,"minute"
"2023-02-11","7072","07:43:00",0,1,"minute"
"2023-02-11","7072","07:44:00",0,1,"minute"
"2023-02-11","7072","07:45:00",0,1,"minute"
"2023-02-11","7072","07:46:00",0,1,"minute"
"2023-02-11","7072","07:47:00",0,1,"minute"
"2023-02-11","7072","07:48:00",0,1,"minute"
"2023-02-11","7072","07:49:00",0,1,"minute"
"2023-02-11","7072","07:50:00",0,1,"minute"
"2023-02-11","7072","07:51:00",0,1,"minute"
"2023-02-11","7072","07:52:00",0,1,"minute"
"2023-02-11","7072","07:53:00",0,1,"minute"
"2023-02-11","7072","07:54:00",0,1,"minute"
"2023-02-11","7072","07:55:00",0,1,"minute"
"2023-02-11","7072","07:56:00",0,1,"minute"
"2023-02-11","7072","07:57:00",0,1,"minute"
"2023-02-11","7072","07:58:00",0,1,"minute"
"2023-02-11","7072","07:59:00",0,1,"minute"
"2023-02-11","7072","08:00:00",0,1,"minute"
"2023-02-11","7072","08:01:00",0,1,"minute"
"2023-02-11","7072","08:02:00",0,1,"minute"
"2023-02-11","7072","08:03:00",0,1,"minute"
"2023-02-11","7072","08:04:00",0,1,"minute"
"2023-02-11","7072","08:05:00",0,1,"minute"
"2023-02-11","7072","08:06:00",0,1,"minute"
"2023-02-11","7072","08:07:00",0,1,"minute"
"2023-02-11","7072","08:08:00",0,1,"minute"
"2023-02-11","7072","08:09:00",0,1,"minute"
"2023-02-11","7072","08:10:00",0,1,"minute"
"2023-02-11","7072","08:11:00",0,1,"minute"
"2023-02-11","7072","08:12:00",0,1,"minute"
"2023-02-11","7072","08:13:00",0,1,"minute"
"2023-02-11","7072","08:14:00",0,1,"minute"
"2023-02-11","7072","08:15:00",0,1,"minute"
"2023-02-11","7072","08:16:00",0,1,"minute"
"2023-02-11","7072","08:17:00",0,1,"minute"
"2023-02-11","7072","08:18:00",0,1,"minute"
"2023-02-11","7072","08:19:00",0,1,"minute"
"2023-02-11","7072","08:20:00",0,1,"minute"
"2023-02-11","7072","08:21:00",0,1,"minute"
"2023-02-11","7072","08:22:00",0,1,"minute"
"2023-02-11","7072","08:23:00",0,1,"minute"
"2023-02-11","7072","08:24:00",0,1,"minute"
"2023-02-11","7072","08:25:00",0,1,"minute"
"2023-02-11","7072","08:26:00",0,1,"minute"
"2023-02-11","7072","08:27:00",0,1,"minute"
"2023-02-11","7072","08:28:00",0,1,"minute"
"2023-02-11","7072","08:29:00",0,1,"minute"
"2023-02-11","7072","08:30:00",0,1,"minute"
"2023-02-11","7072","08:31:00",0,1,"minute"
"2023-02-11","7072","08:32:00",0,1,"minute"
"2023-02-11","7072","08:33:00",0,1,"minute"
"2023-02-11","7072","08:34:00",0,1,"minute"
"2023-02-11","7072","08:35:00",0,1,"minute"
"2023-02-11","7072","08:36:00",0,1,"minute"
"2023-02-11","7072","08:37:00",0,1,"minute"
"2023-02-11","7072","08:38:00",0,1,"minute"
"2023-02-11","7072","08:39:00",0,1,"minute"
"2023-02-11","7072","08:40:00",0,1,"minute"
"2023-02-11","7072","08:41:00",0,1,"minute"
"2023-02-11","7072","08:42:00",0,1,"minute"
"2023-02-11","7072","08:43:00",0,1,"minute"
"2023-02-11","7072","08:44:00",0,1,"minute"
"2023-02-11","7072","08:45:00",0,1,"minute"
"2023-02-11","7072","08:46:00",0,1,"minute"
"2023-02-11","7072","08:47:00",0,1,"minute"
"2023-02-11","7072","08:48:00",0,1,"minute"
"2023-02-11","7072","08:49:00",0,1,"minute"
"2023-02-11","7072","08:50:00",0,1,"minute"
"2023-02-11","7072","08:51:00",0,1,"minute"
"2023-02-11","7072","08:52:00",0,1,"minute"
"2023-02-11","7072","08:53:00",0,1,"minute"
